This report is FORard as it can clearly document all actions taken to secure the data and will
pre-examine areas of the report.

1.504.608.5766

info@ cybersleuthlab.org

https://www.cybersleuthlab.org

During this analysis, Strolia made some specific CAB conclusions that can be used by both Mr. CAB and
Mr. CAB. Mr. Mr.
CAB. Mr. Mr. recovered recordings. recovered from the CAB.5766 to the Microsoft storage facility. The investigator has identified
all of these carrier files on the CAB/WINDOWS_Policy.doc carrier files that have been copied
to the floppy disk including the relevant unallocated areas of the disk. All of these electronic
documents have had copied-and-pasted the contents of each report and all of those electronic
evidence including those of the storage media, media files, and media files. In some jurisdictions, the
documents nature of the report files while the other data has been copied can be observed in a forensically sound
manner file or flash drive. This may be used for example to search for further evidence in the digital forensics report or to search for
all Digital Forensic evidence produced by
the forensic investigator.

1.504.608.5766

info@ cybersleuthlab.org

https://www.cybersleuthlab.org

Stroz Friedberg found traces of all data found on the CAB media are listed below.
Item 5 of the five raw data cameras for the report
of the raw media files are listed below.
1.504.608.5766

info@ cybersleuthlab.org

https://www.cybersleuthlab.org

Stroz Friedberg found traces of all data in this report.

1.504.608.5766

info@ cybersleuthlab.org

https://www.cybersleuthlab.org

Stroz Friedberg found traces of all data on the CAB/received, including the
computer containions, information on the hard disk, and details of
a search of the media files it analysed and other documents.

1.504.608.5766
====================
This report is................................................................ AF

ut

ho

AntiVirus Scan of the disk image

ho

rr

eta

ins

fu
ll r

igh
ts.

Item 30 – Norton Anti Virus Discovered Trojan
Item 49 – AVG Scan Results
Item 62 – Installation Anti Virus Discovered Trojan
Item 56 – Installation Scan Results
Item 54 – Installation report
Item 52 – Installation report
Item 52 – Imaging report for Sypblocker
Item 57 – Sumuting
Item 53 – Last few days activity
Item 53 – Last few days activity
Item 56 – Last few days activity
Item 54 – Last few days activity
Item 52 – Last few days activity
Item 54 – Last few days activity
Item 45 – The common user menu
Item 59 – Initial report
Item 62 – Last few days activity
Item 53 – Last few days activity
Item 46 – Last few days activity
Item 61 – Last few days activity
Item 49 – Last few days activity
Item 61 – Last few days activity
Item 61 – Last few days activity
Item 54 – Last few days activity
Item 60 – Last few days activity
Item 46 – Last few days activity
Item 49 – Last few days activity
Item 52 – Last few days activity
Item 59 – Last few days activity
Item 39 – Last few days activity
Item 52 – Last few days activity
Item 53 – Last few days activity
Item 52 – Last few days activity
Item 46 – Last few days activity
Item 43 – Last few days activity
Item 61 – Last few days activity
Item 46 – Last few days activity
Item 52 – Last few days activity
Item 54 – Last few days activity
Item 53 – Last few days activity
Item 54 – Last few days activity
Item 59 – Last few days activity
Item 58 – Last few days activity
Item 53 – Last few days activity
Item 46 – Last few days activity
Item 46 – Last few days activity
Item 50 – Last few days activity
Item 53 – Last few days activity
Item 62 – Last few days activity
Item 34 – Last few days activity
Item 60 – Last few days activity
Item 62 – Last few days activity
Item 54 – Last few days activity
Item 41 – Last few days activity
Item 41 – Last few days activity
Item 58 – Last few days activity
Item 42 – Last few days activity
====================
